cell_id,theory_id,theory,row_class,origin,domain_id,domain,prediction_id,code,polarity,relation,claim_text,source_label,source_doi,source_locus,evidence_status,confidence,provisional,legacy_code,first_coder_code_M4,superseded_by,flag_for_adjudication,legacy_justification,legacy_source_label,legacy_source_doi,note,coder,n_predictions,previous_code,previous_polarity,recode_note
IITxM6,IIT,IIT (3.0/4.0),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,P07,EXPLICIT,positive,constitution,"The quality of experience is identical to the structure of distinctions and relations unfolded from the substrate; this fixes the geometry, hence dimensionality, of phenomenal structure.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,"abstract and p. 4 (identity of the quality of experience with the unfolded cause-effect structure); Melloni 2023 prediction 2 (pp. 4-5: ""an experience is a structure"")",full-text,3,False,YES,,,,"The quality of experience is identified with the structure of distinctions and relations unfolded from the substrate — a formal claim about the geometry, hence dimensionality, of phenomenal space.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,,author1,1,,,
IITxM7,IIT,IIT (3.0/4.0),trial-level,submitted-v1,M7,metacognitive sensitivity,,NOT_LOCATED,,,Metacognitive accuracy is not a theoretical quantity; report is not required.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,axioms/postulates (no metacognitive term),full-text,2,False,NO,,,,Metacognitive accuracy is not a theoretical quantity; report is not required for phi.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,,author1,1,,,
IITxM8,IIT,IIT (3.0/4.0),trial-level,submitted-v1,M8,cortical signature of access,P04;P05;P06;P31,EXPLICIT,positive,marker,"Sustained, content-specific activity and short-range synchrony within a posterior hot zone for the duration of the percept; sustained posterior synchrony not found in Cogitate 2025.",Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023 predictions 1, 2, 3, 5 (pp. 4-6); Cogitate 2025 abstract (""lack of sustained synchronization within the posterior cortex"")",full-text,3,False,YES,,,,"Sustained posterior synchronisation within a posterior ""hot zone"" for the duration of the percept; tested and challenged by the adversarial collaboration.",Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,,author1,4,,,
IITxM4a,IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4a,access to interoceptive content as content,,NOT_LOCATED,,,No statement located on access to interoceptive content as content.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
IITxM4b,IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
IITxM4c,IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,No statement located on conscious involvement in purely autonomic conflict.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
NSFxM1,NSF,Neural subjective frame,trial-level,added-in-revision,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,No statement relates access to the number of competing policies.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,abstract,abstract-only,2,False,NO,,,,No statement relates access to the number of competing action policies.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,,author1,1,,,
NSFxM2,NSF,Neural subjective frame,trial-level,added-in-revision,M2,incompatibility of the competing policies,,NOT_LOCATED,,,Policy incompatibility is not a variable in the proposal.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,abstract,abstract-only,2,False,NO,,,,Policy incompatibility is not a variable in the proposal.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,,author1,1,,,
NSFxM3,NSF,Neural subjective frame,trial-level,added-in-revision,M3,valence,,INTERPRETED,positive,effect,The frame could underlie emotional feelings and HERs contribute to preference-based decisions; no valence-dependent access prediction is stated.,Azzalini et al. 2021; Park & Tallon-Baudry 2014,10.1523/jneurosci.1932-20.2021; 10.1098/rstb.2013.0208,abstract (heartbeat-evoked responses in vmPFC couple to the precision of value encoding); Park & Tallon-Baudry 2014 abstract (frame could underlie emotional feelings),abstract-only,2,False,IMPLICIT,,,,"The frame could also underlie emotional feelings and vmPFC heartbeat-evoked responses contribute to preference-based decisions, but no valence-dependent access prediction is stated.",Azzalini et al. 2021,10.1523/jneurosci.1932-20.2021,,author1,1,,,
NSFxM5,NSF,Neural subjective frame,trial-level,added-in-revision,M5,organism-wide cortical–autonomic coherence,,INTERPRETED,positive,marker,A cortical response to one visceral signal predicts access independently of bodily state; no organism-wide joint metric.,"Tallon-Baudry, Campana, Park & Babo-Rebelo 2018",10.1016/j.cortex.2017.05.019,"abstract (neural monitoring of visceral inputs, rather than bodily state, affects perception)",abstract-only,2,False,IMPLICIT,,,,"A cortical response to one visceral signal predicts access, independently of measured bodily state; no organism-wide joint cortical–autonomic metric is specified.",Tallon-Baudry et al. 2018,10.1016/j.cortex.2017.05.019,,author1,1,,,
NSFxM6,NSF,Neural subjective frame,trial-level,added-in-revision,M6,dimensionality of phenomenal structure,,INTERPRETED,positive,constitution,"Dimensionality and topology of experience are posed as open questions, without a quantitative prediction.",Tallon-Baudry 2022,10.1016/j.tics.2022.09.002,abstract (dimensions and topology of subjective experience posed as questions),abstract-only,1,False,IMPLICIT,,,Legacy IMPLICIT rests on an open question rather than a stated commitment; NOT_LOCATED is defensible. | 24 Sep 2026: full text not reachable from the sandbox (publisher-closed); code rests on the abstract and is provisional until the PDF is read by the first coder.,"The dimensionality and topology of subjective experience are posed as open questions, without a quantitative prediction.",Tallon-Baudry 2022,10.1016/j.tics.2022.09.002,,author1,1,,,
NSFxM7,NSF,Neural subjective frame,trial-level,added-in-revision,M7,metacognitive sensitivity,,NOT_LOCATED,,,The frame is a low-level building block; no claim about metarepresentational precision.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"abstract (""not explicitly experienced by itself"")",abstract-only,2,False,NO,,,,The frame is a low-level building block not explicitly experienced by itself; no claim about metarepresentational precision.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,,author1,1,,,
NSFxM8,NSF,Neural subjective frame,trial-level,added-in-revision,M8,cortical signature of access,,INTERPRETED,positive,marker,"Pre-stimulus HER amplitude in rIPL/vACC is a stated cortical predictor of detection, framed as a precondition rather than the access signature itself.","Park, Correia, Ducorps & Tallon-Baudry 2014",10.1038/nn.3671,"abstract (right inferior parietal lobule, ventral anterior cingulate)",abstract-only,2,False,IMPLICIT,,,,"Pre-stimulus heartbeat-evoked response amplitude in right inferior parietal and ventral anterior cingulate cortex is a stated cortical predictor of detection, framed as a precondition rather than as the signature of access itself.",Park et al. 2014,10.1038/nn.3671,,author1,1,,,
NSFxM4a,NSF,Neural subjective frame,trial-level,added-in-revision,M4a,access to interoceptive content as content,,INTERPRETED,stated_null,marker,Visceral monitoring furnishes the subjective frame but is not itself experienced as content - a constructed null for interoceptive content as content.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"abstract (""a low-level building block of subjective experience which is not explicitly experienced by itself"")",abstract-only,2,True,,IMPLICIT,,,,,,"monitoring, not experience of the heartbeat (user note) | polarity 'null' restored from claim_text during integration (was blank)",author1,1,,,
NSFxM4b,NSF,Neural subjective frame,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,P20,EXPLICIT,positive,modulation,"Cortical responses to heartbeats before stimulus onset modulate access to exteroceptive content, independently of measured bodily state.","Park, Correia, Ducorps & Tallon-Baudry 2014; Tallon-Baudry, Campana, Park & Babo-Rebelo 2018",10.1038/nn.3671; 10.1016/j.cortex.2017.05.019,"Park et al. 2014 abstract (pre-stimulus heartbeat-locked responses in rIPL/vACC predict detection; not explained by bodily parameters or excitability); Tallon-Baudry et al. 2018 abstract (neural monitoring of the heart affects visual perception, specific role distinct from attention); Park & Tallon-Baudry 2014 abstract",abstract-only,3,True,,YES,,24 Sep 2026: full text not reachable from the sandbox (publisher-closed); code rests on the abstract and is provisional until the PDF is read by the first coder.,,,,,author1,1,,,
NSFxM4c,NSF,Neural subjective frame,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,No statement located on conscious involvement in purely autonomic conflict.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
PFTxM1,PFT,Passive frame theory,trial-level,added-in-revision,M1,number of simultaneously competing action policies,,INTERPRETED,stated_null,effect,The field presents contents whether one or many inclinations are present; number is not a trial-level predictor.,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/S0140525X15000643,Section 4.3 (the field as a frame) and Section 2.5; endnote 8 (p. 16),full-text,2,False,IMPLICIT,,,,"The function of the conscious field is still stated as integration of multiple skeletomotor inclinations, but the passive-frame formulation makes no trial-level prediction from their number: the field presents contents whether one or many inclinations are present.",Morsella et al. 2015,10.1017/s0140525x15000643,polarity 'null' restored from claim_text during integration (was blank),author1,1,,,
PFTxM2,PFT,Passive frame theory,trial-level,added-in-revision,M2,incompatibility of the competing policies,,INTERPRETED,stated_null,effect,Incompatibility is what downstream systems resolve using field contents; the field operates whether or not conflict is present.,"Heredia Cedillo, Lambert & Morsella 2024; Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.3390/bs14040337; 10.1017/S0140525X15000643,abstract; Morsella et al. 2016 BBS Sections 4.2-4.3,abstract-only,2,False,IMPLICIT,,,,"Incompatibility is what downstream systems resolve using the field's contents, but the field is stated to operate blindly whether or not conflict is present, so incompatibility is no longer a predictor of access (cf. §4).","Heredia Cedillo, Lambert & Morsella 2024",10.3390/bs14040337,polarity 'null' restored from claim_text during integration (was blank),author1,1,,,
PFTxM3,PFT,Passive frame theory,trial-level,added-in-revision,M3,valence,,INTERPRETED,stated_null,effect,Affective contents enter the field but no valence-dependent access prediction is stated.,"Morsella, Godwin & Jantz 2016 (BBS reply)",10.1017/s0140525x15002812,abstract (reply to commentators),abstract-only,1,False,IMPLICIT,,,,The reply to commentators accepts that affective contents enter the field but states no valence-dependent access prediction.,"Morsella, Godwin & Jantz 2016",10.1017/s0140525x15002812,polarity 'null' restored from claim_text during integration (was blank),author1,1,,,
PFTxM5,PFT,Passive frame theory,trial-level,added-in-revision,M5,organism-wide cortical–autonomic coherence,,NOT_LOCATED,,,The frame is scoped to skeletal-muscle output; no cortical-autonomic coherence variable.,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/S0140525X15000643,abstract; Section 6 (p. 15),full-text,2,False,NO,,,,The frame is scoped to skeletal-muscle output; no organism-wide cortical–autonomic coherence variable is proposed.,Morsella et al. 2015,10.1017/s0140525x15000643,,author1,1,,,
PFTxM6,PFT,Passive frame theory,trial-level,added-in-revision,M6,dimensionality of phenomenal structure,,NOT_LOCATED,,,No dimensionality prediction; the field is described as low-level.,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/S0140525X15000643,Section 4.3,full-text,2,False,NO,,,,No dimensionality prediction; the field is described as low-level and unintelligent.,Morsella et al. 2015,10.1017/s0140525x15000643,,author1,1,,,
PFTxM7,PFT,Passive frame theory,trial-level,added-in-revision,M7,metacognitive sensitivity,,NOT_LOCATED,,,"The frame is passive; contents are not evaluated, so metarepresentational precision plays no role.","Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/S0140525X15000643,Sections 4.1 and 4.3 (contents presented without being evaluated),full-text,2,False,NO,,,"Legacy NO; the justification (""plays no role"") is phrased as a stated denial and could be read as an EXPLICIT null; the source passages describe the field as passive but do not state a prediction over metacognitive measures. Kept NOT_LOCATED.","The frame is passive: contents are presented without being evaluated, so metarepresentational precision plays no role.",Morsella et al. 2015,10.1017/s0140525x15000643,,author1,1,,,
PFTxM8,PFT,Passive frame theory,trial-level,added-in-revision,M8,cortical signature of access,,NOT_APPLICABLE,,,The theory declines the implementation level by its own statement; no cortical signature is stated.,"Morsella, Godwin & Jantz 2016 (BBS reply)",10.1017/s0140525x15002812,"abstract (""does not address the implementation level of analysis"")",abstract-only,2,False,NO,,,,The theory explicitly declines the implementation level — how neurons produce conscious states is not part of the account — so no cortical signature of access is stated.,"Morsella, Godwin & Jantz 2016",10.1017/s0140525x15002812,,author1,1,,,
PFTxM4a,PFT,Passive frame theory,trial-level,added-in-revision,M4a,access to interoceptive content as content,,INTERPRETED,positive,effect,Bodily contents enter the field as action options for the skeletomotor system; no differential access prediction.,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/S0140525X15000643,"Section 1.1 (p. 2: basic consciousness includes tooth pain, urges to scratch); Section 3.2 (p. 8: ""conscious contents about the world and the body can be construed as action options"")",full-text,2,True,,IMPLICIT,,,,,,,author1,1,,,
PFTxM4b,PFT,Passive frame theory,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/S0140525X15000643,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
PFTxM4c,PFT,Passive frame theory,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,P19,EXPLICIT,stated_null,scope,The conscious field serves the somatic nervous system; smooth-muscle integrations and conflicts proceed outside it.,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/S0140525X15000643,"Section 2.4 (p. 5: ""Integrations involving smooth muscle effectors (e.g., in peristalsis or in the pupillary reflex), too, can occur unconsciously""; ""conflicts at the stage of processing of action selection are experienced consciously, whereas conflicts at perceptual stages of processing are unconscious""); endnote 8 (p. 16)",full-text,3,True,,Y(neg),,,,,,"stated null for experienced conflict / exclusion from the field's function, not a denial of bodily feelings; stated null for experienced conflict / exclusion from the field's function, not a denial of bodily feelings | polarity 'null' restored from claim_text during integration (was blank)",author1,1,,,
PPxM1,PP,Predictive processing / beast machine,trial-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,Policy cardinality is not a predictor of access.,Clark 2013,10.1017/s0140525x12000477,abstract,abstract-only,2,False,NO,,,,Precision-weighted prediction error is the currency; policy cardinality is not a predictor of access.,Clark 2013,10.1017/s0140525x12000477,,author1,1,,,
PPxM2,PP,Predictive processing / beast machine,trial-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,,"Pezzulo, Rigoli & Friston 2018",10.1016/j.tics.2018.01.009,"Pezzulo et al. 2018, section 'Motivated control as hierarchical active inference' and Box 2 (conflict within and across hierarchical levels; policy competition); Figure 1 'waiting game' (go vs stop competition). No consciousness statement in any section.",full-text,2,False,IMPLICIT,,,Legacy IMPLICIT; the v1.3 justification addresses how many policies compete (M1 wording) rather than their incompatibility (M2); polarity of the constructed prediction is indeterminate.,"Policy selection appears as active inference over competing policies, but the consciousness-relevant predictions are about inference, not about how many policies compete.","Pezzulo, Rigoli & Friston 2018",10.1016/j.tics.2018.01.009,,author1,1,INTERPRETED,positive,"24 Sep 2026, first coder after full-text reading: INTERPRETED requires a located passage from which the M2 prediction follows in one step. The located passages give a mechanism for resolving conflict between policies (precision-weighted competition), but reaching a consciousness prediction needs an additional premise (e.g., that access tracks preci Sections searched: Pezzulo et al. 2018 full text (PMC author manuscript; all sections incl. Boxes 1-3 and figure legends) for conflict*, incompatib*, mutually exclusive, compet*, alternative/multiple policies, conscious"
PPxM3,PP,Predictive processing / beast machine,trial-level,submitted-v1,M3,valence,P13,EXPLICIT,positive,constitution,Felt valence is identified with the rate of change of free energy; positive when prediction error decreases.,Joffily & Coricelli 2013; Seth 2013,10.1371/journal.pcbi.1003094; 10.1016/j.tics.2013.09.007,abstract (valence defined as the negative rate of change of free energy),abstract-only,3,False,YES,,,,"Valence is derived: emotion is interoceptive inference, and valence has been formally linked to the rate of change of free energy.",Joffily & Coricelli 2013,10.1371/journal.pcbi.1003094,,author1,1,,,
PPxM5,PP,Predictive processing / beast machine,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,INTERPRETED,positive,marker,"Allostasis is organism-wide, but no joint cortical-autonomic coherence metric is proposed as a criterion of access.",Kleckner et al. 2017,10.1038/s41562-017-0069,abstract (large-scale allostatic/interoceptive system),abstract-only,2,False,IMPLICIT,,,,"Allostasis is organism-wide and a large-scale interoceptive-allostatic system has been identified, but no joint cortical-autonomic metric is proposed as a criterion of conscious access.",Kleckner et al. 2017,10.1038/s41562-017-0069,,author1,1,,,
PPxM6,PP,Predictive processing / beast machine,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,INTERPRETED,positive,constitution,Experience as compressed inference implies dimensionality reduction; no quantitative prediction.,Seth & Tsakiris 2018,10.1016/j.tics.2018.08.008,abstract (embodied selfhood as instrumental interoceptive inference; non-object-like character),abstract-only,1,False,IMPLICIT,,,,Experience as compressed inference implies dimensionality reduction; no quantitative prediction of phenomenal dimensionality.,Seth & Tsakiris 2018,10.1016/j.tics.2018.08.008,,author1,1,,,
PPxM7,PP,Predictive processing / beast machine,trial-level,submitted-v1,M7,metacognitive sensitivity,P15,EXPLICIT,positive,marker,Precision is the theory's control parameter; interoceptive metacognitive awareness dissociates from interoceptive accuracy.,Garfinkel et al. 2015; Seth & Friston 2016,10.1016/j.biopsycho.2014.11.004; 10.1098/rstb.2016.0007,"abstract (three dissociable dimensions: accuracy, sensibility, metacognitive awareness); Seth & Friston 2016 Section 2 (precision as the key control parameter)",abstract-only,2,False,YES,,,,"Precision (inverse variance) is the theory's own control parameter, and interoceptive accuracy is dissociated from interoceptive awareness/sensibility.",Garfinkel et al. 2015,10.1016/j.biopsycho.2014.11.004,,author1,1,,,
PPxM8,PP,Predictive processing / beast machine,trial-level,submitted-v1,M8,cortical signature of access,,INTERPRETED,positive,marker,Predictive processing offers a basis for mapping neural correlates but commits to no single cortical access signature.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,abstract (systematic basis for identifying neural correlates; no single signature committed),abstract-only,2,False,IMPLICIT,,,,Offers a systematic basis for identifying neural correlates but does not commit to a single cortical access signature.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,,author1,1,,,
PPxM4a,PP,Predictive processing / beast machine,trial-level,added-in-revision,M4a,access to interoceptive content as content,P14,EXPLICIT,positive,constitution,Feeling states are the content of interoceptive predictions; interoceptive content is accessed as emotional content.,Seth & Friston 2016; Seth 2013,10.1098/rstb.2016.0007; 10.1016/j.tics.2013.09.007,"Section 3 Interoceptive inference (""emotional content is determined by beliefs ... about the causes of interoceptive signals""); Section 5 Concluding remarks (""emotional feeling states can be seen as the joint content of interoceptive predictions""; key prediction iii)",full-text,3,True,,YES,,,,,,,author1,1,,,
PPxM4b,PP,Predictive processing / beast machine,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,P27,INTERPRETED,positive,modulation,Interoceptive signalling shapes perception of external stimuli via precision-weighted multimodal inference.,Seth & Friston 2016,10.1098/rstb.2016.0007,"Section 5 Concluding remarks (""interoceptive signalling shapes experiences of self, and also of perceptions of stimuli originating from the external environment (e.g. [94, 95])""); Section 4 (cardio-visual feedback alters bodily self-consciousness)",full-text,1,True,,YES,,The Section 5 sentence reports reviewed evidence (Salomon et al. 2016; Garfinkel et al. 2014) rather than a prediction of the framework; the listed key predictions (i)-(iii) do not include exteroceptive modulation. Under the YES-vs-IMPLICIT boundary rule this reads as INTERPRETED. First-coder code kept.,,,,,author1,1,EXPLICIT,positive,"24 Sep 2026, first coder: code brought into line with the cell's own adjudication note (the previous code was the merged HOT/HOSS row's code / the YES-vs-IMPLICIT boundary rule applied); flag retained for coder 2 review."
PPxM4c,PP,Predictive processing / beast machine,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,INTERPRETED,positive,sufficiency,"The mechanism (interoceptive prediction error resolved by autonomic reflexes, feeding affective content) is stated; the condition of a purely autonomic conflict without a skeletomotor plan is not named.",Seth & Friston 2016; Seth 2016 (BBS commentary e196),10.1098/rstb.2016.0007; 10.1017/S0140525X15002265,"Section 3 (autonomic reflexes enslaved by descending interoceptive predictions; interoceptive prediction error drives sympathetic/parasympathetic effectors); Section 5 key prediction (iii) (""emotional or affective contents depend primarily on interoceptive predictions rather than prediction errors""); Seth 2016 BBS commentary e196 (""internal actions make strong contributions to (affective) conscious contents"")",full-text,1,True,,IMPLICIT,,"FIRST CELL FOR ADJUDICATION. Mechanism stated, condition not named (first-coder note). Note also that key prediction (iii) of Seth & Friston 2016 assigns affective content to interoceptive predictions rather than prediction errors, so the derived P24 (""unresolved interoceptive prediction error yields a feeling"") needs an auxiliary assumption about how unresolved error updates predictions.",,,,"mechanism stated, condition not named — first cell for adjudication (user note)",author1,1,,,
RPTxM1,RPT,Recurrent processing (RPT),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,No term for competing policies located.,Lamme 2006,10.1016/j.tics.2006.09.001,abstract,abstract-only,2,False,NO,,,,Phenomenality is fixed by local recurrent interaction in sensory cortex; no term for competing policies.,Lamme 2006,10.1016/j.tics.2006.09.001,,author1,1,,,
RPTxM2,RPT,Recurrent processing (RPT),trial-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,No prediction over conflict magnitude located.,Lamme 2006,10.1016/j.tics.2006.09.001,abstract,abstract-only,2,False,NO,,,,No prediction over conflict magnitude.,Lamme 2006,10.1016/j.tics.2006.09.001,,author1,1,,,
RPTxM3,RPT,Recurrent processing (RPT),trial-level,submitted-v1,M3,valence,,NOT_LOCATED,,,"Recurrence is specified over sensory sweeps, indifferent to valence.",Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,abstract (feedforward vs recurrent sweeps),abstract-only,2,False,NO,,,,"Recurrence is specified over feedforward/feedback sensory sweeps, indifferent to content valence.",Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,,author1,1,,,
RPTxM5,RPT,Recurrent processing (RPT),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,NOT_LOCATED,,,No organism-wide coherence measure proposed.,Lamme 2006,10.1016/j.tics.2006.09.001,abstract,abstract-only,2,False,NO,,,"Legacy justification (""explicitly denies that global availability is required"") concerns global cortical availability, not cortical-autonomic coherence; the denial does not bear on M5 as defined and the code should rest on silence (NOT_LOCATED), as mapped. | 24 Sep 2026: full text not reachable from the sandbox (publisher-closed); code rests on the abstract and is provisional until the PDF is read by the first coder.",Explicitly denies that global availability is required for phenomenality.,Lamme 2006,10.1016/j.tics.2006.09.001,,author1,1,,,
RPTxM6,RPT,Recurrent processing (RPT),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,NOT_LOCATED,,,No dimensionality claim located.,Lamme 2006,10.1016/j.tics.2006.09.001,abstract,abstract-only,2,False,NO,,,,No dimensionality claim.,Lamme 2006,10.1016/j.tics.2006.09.001,,author1,1,,,
RPTxM7,RPT,Recurrent processing (RPT),trial-level,submitted-v1,M7,metacognitive sensitivity,,NOT_LOCATED,,,Report and metacognition are downstream of phenomenality by design; no precision prediction located.,Lamme 2006,10.1016/j.tics.2006.09.001,abstract,abstract-only,2,False,NO,,,,Report and metacognition are downstream of phenomenality by design.,Lamme 2006,10.1016/j.tics.2006.09.001,,author1,1,,,
RPTxM8,RPT,Recurrent processing (RPT),trial-level,submitted-v1,M8,cortical signature of access,P08,EXPLICIT,positive,necessity,"Local recurrent processing within visual cortex is necessary (and, per Lamme, sufficient) for phenomenal content, dissociable from later global/frontal signatures.",Lamme & Roelfsema 2000; Lamme 2006,10.1016/s0166-2236(00)01657-x; 10.1016/j.tics.2006.09.001,"abstract (""recurrent processing is necessary before ... the stimulus can enter consciousness""; feedforward sweep ""probably incapable of yielding visual awareness""); timing (~100-300 ms) carried from the v1.3 justification citing Lamme 2006",abstract-only,2,False,YES,,,,"Local recurrent processing in sensory areas, ~100-200 ms; dissociable from the late global signature.",Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,,author1,1,,,
RPTxM4a,RPT,Recurrent processing (RPT),trial-level,added-in-revision,M4a,access to interoceptive content as content,,NOT_LOCATED,,,No statement located on access to interoceptive content as content.,Lamme 2006,10.1016/j.tics.2006.09.001,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
RPTxM4b,RPT,Recurrent processing (RPT),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,Lamme 2006,10.1016/j.tics.2006.09.001,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
RPTxM4c,RPT,Recurrent processing (RPT),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,No statement located on conscious involvement in purely autonomic conflict.,Lamme 2006,10.1016/j.tics.2006.09.001,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
SITxM1,SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M1,number of simultaneously competing action policies,P16,EXPLICIT,positive,effect,"Phenomenal states are required when two or more supramodular inclinations converge on the skeletomotor output system - a threshold (1 vs >= 2), not a monotonic count effect.","Morsella 2005; Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1037/0033-295X.112.4.1000; 10.1017/S0140525X15000643,"abstract (PRISM: supramodular systems ""may conflict with skeletal muscle plans""; phenomenal states permit their interaction); Morsella et al. 2016 BBS Section 2.4 (p. 5)",abstract-only,3,False,YES,,,,"PRISM: phenomenal states are required when multiple supramodular systems send simultaneous, competing inclinations to the skeletomotor output system — the number of concurrent inclinations is the theory's own trigger variable.",Morsella 2005,10.1037/0033-295x.112.4.1000,,author1,1,,,
SITxM2,SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M2,incompatibility of the competing policies,P17,EXPLICIT,positive,effect,Sustaining incompatible skeletomotor intentions produces stronger subjective effects than compatible intentions.,"Morsella, Gray, Krieger & Bargh 2009",10.1037/a0017121,"Studies 1-2 (arm and finger effectors): incompatible vs compatible intentions, activity ratings; abstract",full-text,3,False,YES,,,,Directly measured: merely sustaining incompatible skeletomotor intentions in a motionless state produces stronger subjective effects than compatible intentions.,"Morsella, Gray & Krieger 2009",10.1037/a0017121,,author1,1,,,
SITxM3,SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M3,valence,,INTERPRETED,stated_null,effect,"Conscious conflict has affective consequences, but valence of content is not itself a predictor of access.","Morsella, Gray, Krieger & Bargh 2009",10.1037/a0017121,abstract and Discussion (conflict linked to affect and failures of self-control),full-text,2,False,IMPLICIT,,,,"Conscious conflict is described as having affective consequences and is linked to failures of self-control, but valence of content is not itself a predictor of access.","Morsella, Gray & Krieger 2009",10.1037/a0017121,polarity 'null' restored from claim_text during integration (was blank),author1,1,,,
SITxM5,SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,NOT_LOCATED,,,No organism-wide coherence measure including autonomic channels is proposed.,Morsella 2005,10.1037/0033-295X.112.4.1000,abstract,abstract-only,2,False,NO,,,,Phenomenal states integrate systems competing for skeletal muscle; no organism-wide coherence measure including autonomic channels is proposed.,Morsella 2005,10.1037/0033-295x.112.4.1000,,author1,1,,,
