pair_id,pred_a,pred_b,theory_a,theory_b,domain_id,shared_condition,shared_outcome,relation,distinguishing_feature,what_result_would_favour_a,what_result_would_favour_b,exclusivity_stated,cogitate_operationalised,pair_confidence,pair_confidence_rationale,in_old_distinguishable_from,s4_row_confidence_a,s4_row_confidence_b,coder
M8-P08-P30,P08,P30,RPT,GNWT,M8,,,different,condition,"local recurrent activity in visual cortex (~100-300 ms; VAN) present for seen, absent for unseen, independent of report (bears on P08 only; does not bear on P30)",higher pre-stimulus prefrontal/parietal activity -> lower probability of detection (bears on P30 only; does not bear on P08),"yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,Pre-stimulus fronto-parietal activity and detection (P30) vs post-onset local recurrence (P08): different observables.,no,2,3,"first coder, reading assistant"
M8-P08-P31,P08,P31,RPT,IIT,M8,,,different,timing,"local recurrent activity in visual cortex (~100-300 ms; VAN) present for seen, absent for unseen, independent of report (bears on P08 only; does not bear on P31)",higher pre-stimulus posterior excitability or posterior-V1/V2 synchrony -> higher probability of detection (bears on P31 only; does not bear on P08),"yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,Pre-stimulus posterior excitability and detection (P31) vs post-onset local recurrence (P08): pre- vs post-stimulus observables differ.,no,2,3,"first coder, reading assistant"
M8-P09-P12,P09,P12,HOT,AST,M8,,,different,locus,dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P12),bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P09),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity) | P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,"dlPFC disruption reducing meta-d' at matched d' (P09) vs TPJ disruption producing neglect-like detection loss (P12): different sites, different outcomes (metacognitive sensitivity vs detection) and conditions; neither row states the other site is ineffective. S4 insufficient to equate the outcomes.",yes,2,2,"first coder, reading assistant"
M8-P09-P29,P09,P29,HOT,HOSS,M8,,,different,condition,dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P29),frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P09),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,Causal dlPFC disruption and meta-d' (P09) vs correlational PFC coding of the awareness state and ignition (P29): allied prefrontal predictions with no shared observable.,no,2,1,"first coder, reading assistant"
M8-P09-P30,P09,P30,HOT,GNWT,M8,,,different,condition,dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P30),higher pre-stimulus prefrontal/parietal activity -> lower probability of detection (bears on P30 only; does not bear on P09),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,Spontaneous pre-stimulus fronto-parietal activity and detection (P30) vs TMS/lesion disruption of dlPFC and meta-d' (P09): different manipulations and outcomes; both predict prefrontal state modulates awareness but no shared observable is defined in S4.,no,2,3,"first coder, reading assistant"
M8-P09-P31,P09,P31,HOT,IIT,M8,,,different,condition,dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P31),higher pre-stimulus posterior excitability or posterior-V1/V2 synchrony -> higher probability of detection (bears on P31 only; does not bear on P09),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,Pre-stimulus posterior excitability and detection (P31) vs dlPFC disruption and meta-d' (P09): no shared observable.,no,2,3,"first coder, reading assistant"
M8-P12-P29,P12,P29,AST,HOSS,M8,,,different,locus,bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P29),frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P12),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,TPJ substrate in attention-control tasks (P12) vs frontoparietal ignition / PFC awareness-state coding in near-threshold detection (P29): different conditions and measures; P29's frontoparietal network is not stated to exclude TPJ.,no,2,1,"first coder, reading assistant"
M8-P12-P30,P12,P30,AST,GNWT,M8,,,different,condition,bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P30),higher pre-stimulus prefrontal/parietal activity -> lower probability of detection (bears on P30 only; does not bear on P12),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,Pre-stimulus prefrontal/parietal activity and detection (P30) vs TPJ disruption and detection loss (P12): different manipulations (spontaneous fluctuation vs causal disruption) and conditions; S4 insufficient for a shared observable.,no,2,3,"first coder, reading assistant"
M8-P12-P31,P12,P31,AST,IIT,M8,,,different,condition,bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P31),higher pre-stimulus posterior excitability or posterior-V1/V2 synchrony -> higher probability of detection (bears on P31 only; does not bear on P12),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,Pre-stimulus posterior excitability and detection (P31) vs TPJ disruption and detection loss (P12): different manipulations and conditions.,no,2,3,"first coder, reading assistant"
M8-P29-P30,P29,P30,HOSS,GNWT,M8,near-threshold visual detection (seen vs unseen / presence vs absence reports),,different,timing,frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P30),higher pre-stimulus prefrontal/parietal activity -> lower probability of detection (bears on P30 only; does not bear on P29),no: neither S4 row states exclusivity or necessity,no,2,"Pre-stimulus fronto-parietal activity and detection (P30) vs post-stimulus ignition for presence reports (P29): both near-threshold detection, but pre- vs post-stimulus observables differ.",no,1,3,"first coder, reading assistant"
M8-P29-P31,P29,P31,HOSS,IIT,M8,near-threshold visual detection (seen vs unseen / presence vs absence reports),,different,timing,frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P31),higher pre-stimulus posterior excitability or posterior-V1/V2 synchrony -> higher probability of detection (bears on P31 only; does not bear on P29),no: neither S4 row states exclusivity or necessity,no,2,"Pre-stimulus posterior excitability and detection (P31) vs post-stimulus ignition for presence reports (P29): both near-threshold detection, but pre- vs post-stimulus observables differ.",no,1,3,"first coder, reading assistant"
M8-P30-P31,P30,P31,GNWT,IIT,M8,"Cogitate Experiment 2: near-threshold stimuli (video-game paradigm), seen vs unseen, pre-stimulus window","probability that a near-threshold stimulus is experienced, as a function of pre-stimulus activity (region-wise)",jointly compatible,locus,negative relation between pre-stimulus prefrontal/parietal activity and detection,positive relation between pre-stimulus posterior excitability (or posterior-V1/V2 synchrony) and detection,no: neither S4 row states exclusivity or necessity,no: preregistered as Experiment 2 (pre-stimulus prediction 4) in Melloni et al. 2023; Experiment 2 not reported in Cogitate 2025,2,"Same experiment and same outcome, but the two predictions concern different pre-stimulus signals (fronto-parietal vs posterior); the 'opposite sign' in the old register is a sign difference across loci, and a negative fronto-parietal relation plus a positive posterior relation can hold simultaneously. Neither row states that the other region's relation is absent.",yes,3,3,"first coder, reading assistant"
M6-P07-P10,P07,P10,IIT,HOSS,M6,perception tasks (P07 'any system with a definable substrate' nominally includes P10's perception/imagery/reality-monitoring tasks),,different,magnitude,phenomenal structure has the geometry of the substrate's unfolded cause-effect structure (high-dimensional) (bears on P07 only; does not bear on P10),awareness judgements vary along a single dimension nested above a high-dimensional perceptual space (bears on P10 only; does not bear on P07),"yes: P07 (IIT): identity claim - ""identity of experience with the unfolded cause-effect structure"" (source_locus); ""the identity postulate"" (auxiliary_assumptions)",no,2,"P07 concerns the geometry (dimensionality) of phenomenal structure itself, identified with the substrate's unfolded cause-effect structure; P10 concerns the dimensionality of the awareness judgement, explicitly nested ABOVE a high-dimensional perceptual space. HOSS thus grants high-dimensional content; IIT's identity claim does not address the awareness-judgement axis. S4's own distinguishing_feature says 'adjudication needed on whether the two claims address the same variable'. S4 insufficient -> different.",yes,1,1,"first coder, reading assistant"
