publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,participants_total,participants_in_analysis,samples_detail,paradigm,modality,affective_status,effector_type,content_class_v2,manipulation,measured_outcome,report_type,theory_attribution_by_authors,theory_attribution_later,later_attribution_evidence,later_attribution_detail,theory_attribution_coder,by_authors_named,later_named,later_context_read,theory_addressed,theory_addressed_strict,theory_addressed_incl_coder,contested_inclusion,contested_reason,ancillary_experiment,has_content_manipulation,legacy_content,legacy_theory_addressed,evidence_status,notes,unit_type
P21,F21,P21-E2,P21-E2-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiments 7–8 (implicit attention shift generalisation; per abstract),not stated in abstract,25,25 analysed of 34 tested,Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,Awareness of the cue–target contingency removed (participants not told; posttest confirms unawareness); cue clearly visible; compared with Experiment 1,ΔRTX and ΔRTN (both remained significant without contingency awareness),report (posttest questions on noticing the cue–target pattern),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)",,,,,AST,False,False,True,True,True,True,"The content whose awareness is manipulated is knowledge of an abstract cue–target contingency (implicit learning), not conscious access to a perceptual content; whether this meets I1 is for the first coder to decide",False,True,neutral-visual,AST,full text read,25 Sep 2026 full-text reading: Re-scoped row (see P21-E1 note).,experiment
P21,F21,P21-E3,P21-S3,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,experiment (Experiment 3: cue rendered subjectively invisible by black-on-black masking; contingency-unaware),,27,27 analysed of 35 tested,Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,Visual awareness of the cue removed (black cue followed by black mask; participants not informed of the cue) in addition to contingency unawareness; compared with Experiments 1–2,"ΔRTX (exogenous effect survived: 7.43 ms, p = 0.016) and ΔRTN (endogenous effect impaired)","report (post hoc awareness questioning after all trials, including a slowed-down demonstration; no trial-wise report by design)","AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)",,,,,AST,False,False,True,True,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row; the core awareness manipulation of the publication.,experiment
P21,F21,P21-E4,P21-S4,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,experiment (Experiment 4: as Experiment 3 with 600 trials and a larger sample),,36,36 analysed of 43 tested,Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,Visual awareness of the cue removed (as Experiment 3); trials tripled to 600 to test whether an endogenous effect emerges with extended implicit exposure,ΔRTN by block (no clear endogenous effect in first five blocks; possible emergence by the final block); ΔRTX,report (post hoc awareness questioning; four participants who may have seen the cue removed),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)",,,,,AST,False,False,True,True,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row.,experiment
P21,F21,P21-E5,P21-S5,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,"experiment (Experiment 5: endogenous effect with 22 cue locations and eye tracking; contingency-unaware, cue visible)",,30,"30 analysed of 37 tested (4 eye-tracker failures, 2 could not see the cue clearly, 1 RT outlier)",Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,Contingency unawareness with a clearly visible cue (as Experiment 2); expanded spatial layout; eye position recorded to separate covert from overt attention,"ΔRTN overall, on fixation-confirmed trials, and by target location; eye position/movement",report (posttest questions; task performance),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)",,,,,AST,False,False,True,True,True,True,"As Experiment 2: manipulated content is contingency knowledge, not perceptual access; the authors describe it as preparation for the generalisation test of Experiment 6 (candidate ancillary_experiment = True)",False,True,,,full text read,"Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row (one of the abstract’s ""additional two experiments"").",experiment
P21,F21,P21-E6,P21-S6,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,experiment (Experiment 6: spatial generalisation of implicit attention shift; training and generalisation phases),,44,44 analysed of 46 tested,Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,"Implicit learning of a cue–target contingency at 16 trained locations, then transfer to 6 untrained intermediate locations; contingency-unaware, cue visible",ΔRTN at trained vs untrained locations (generalisation),report (posttest questions; task performance),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)",,,,,AST,False,False,True,True,True,True,"As Experiment 2: manipulated content is contingency knowledge, not perceptual access",False,True,,,full text read,"Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row (one of the abstract’s ""additional two experiments"").",experiment
P22,F22,P22-E1,P22-E1-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 1: arm movements (reach vs wiggle),18,18,,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",motor,neutral,skeletal,motor-conflict (skeletal),Compatibility of sustained intentions (identical / compatible / incompatible); effector system,Introspective ratings of activity / urge,report,"SIT — Introduction: ""This hypothesis is from a theory (Morsella, 2005) in which the primary function of consciousness is to integrate potentially conflicting skeletomotor intentions""","PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (context read; cited as evidence)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,,experiment
P22,F22,P22-E2,P22-E2-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 2: finger movements,14,14,,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",motor,neutral,skeletal,motor-conflict (skeletal),Compatibility of sustained intentions (identical / compatible / incompatible); effector system,Introspective ratings of activity / urge,report,SIT — as Study 1,PFT: Morsella et al. 2015 (context read),CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,,experiment
P22,F22,P22-E3,P22-E3-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Control study: smooth-muscle (pupillary light reflex) conflict vs no conflict,14,14,,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",motor,neutral,autonomic,motor-conflict (autonomic effector),Compatibility of sustained intentions (identical / compatible / incompatible); effector system,Introspective ratings of activity / urge,report,SIT — corollary hypothesis that conflict outside the skeletomotor system produces no subjective effect (Introduction; Control Study),"PFT: Morsella et al. 2015 (context read: ""Integrations involving smooth muscle effectors… can occur unconsciously (Morsella et al. 2009a)"")",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,True,True,motor-conflict,SIT,full text read,"Content whose access is measured: experienced conflict between a sustained intention and an autonomic effector (pupillary light reflex), not a visceral afferent signal. Re-coded from 'interoceptive' to 'motor-conflict (autonomic effector)' on 24 Sep 2026 after the class definitions were sharpened (criteria v2.1: interoceptive = content from visceral afferents; motor-conflict split into skeletal / autonomic-effector). It is the only theory-addressed experiment on autonomic-effector conflict in the sample — a control condition inside the supramodular programme, and the empirical anchor of M4c. Result: no subjective effect. Ancillary.",experiment
P23,F23,P23-E1,P23-E1-S1,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,2013,Single fMRI experiment,14,14,"14 recruited; 13 with usable fMRI data for the sustained intentions task, 12 for the MSIT",Sustaining compatible vs incompatible finger intentions and Stroop-like task during fMRI,motor,neutral,skeletal,motor-conflict (skeletal),"Sustained intentions task: compatible vs incompatible finger-action intentions held in a motionless state; MSIT (Stroop-like multi-source interference task): congruent vs incongruent trials; both with trained introspective ratings of ""activity"" (urge to err)","Self-reported ""activity"" ratings in the scanner; BOLD correlates (parametric analysis with activity ratings; incongruent > congruent)","report (trial-wise introspective rating of conflict/""activity"")","SIT — named as the theory from which the tested hypothesis derives (Introduction ""Supramodular interaction theory"" section; predictions ""Based on theory (Morsella 2005)""; General discussion). The ""integration consensus"" (Baars 2002; Dehaene & Naccache 2001) is cited only as background, not as the framework tested.","PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (context read)",CONTEXT_NAMED,context read,,SIT,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,25 Sep 2026 full-text reading: No partition change. SIT attribution confirmed by label in the full text (the abstract only paraphrased the hypothesis). participants_in_analysis 13/12 rather than 14.,experiment
P24,F24,P24-E1,P24-E1-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 1 (subvocal Stroop, motionless)",15,15,,Vocal and subvocal Stroop; trial-level introspection of urge to err,motor,neutral,skeletal,motor-conflict (skeletal),Stroop congruency; expressed vs unexpressed (subvocal) response,Trial-level urge-to-err / difficulty / competition ratings,report,"SIT — Introduction (""According to supramodular interaction theory (Morsella, 2005)…"")","PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (context read)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,"Participant counts taken from results sentences (""k of the N participants""); recruited totals not separately stated in the extracted text",experiment
P24,F24,P24-E2,P24-E2-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 2 (vocal vs subvocal, within-participant)",112,112,,Vocal and subvocal Stroop; trial-level introspection of urge to err,motor,neutral,skeletal,motor-conflict (skeletal),Stroop congruency; expressed vs unexpressed (subvocal) response,Trial-level urge-to-err / difficulty / competition ratings,report,SIT — as Experiment 1,PFT: Morsella et al. 2015 (context read),CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,"Participant counts taken from results sentences (""k of the N participants""); recruited totals not separately stated in the extracted text",experiment
P24,F24,P24-E3,P24-E3-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 3 (difficulty, competition, control ratings)",34,34,,Vocal and subvocal Stroop; trial-level introspection of urge to err,motor,neutral,skeletal,motor-conflict (skeletal),Stroop congruency; expressed vs unexpressed (subvocal) response,Trial-level urge-to-err / difficulty / competition ratings,report,SIT — as Experiment 1,PFT: Morsella et al. 2015 (context read),CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,"Participant counts taken from results sentences (""k of the N participants""); recruited totals not separately stated in the extracted text",experiment
P26,F26,P26-E1,P26-E1-S1,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,"b-CFS experiments (abstract lists upright, inverted and eyes-only stimulus sets; partition into experiments not verifiable from abstract)",not stated in abstract,12,12 (t(11) throughout; no exclusions reported),"Breaking continuous flash suppression; fearful vs neutral vs happy faces, upright, inverted, eyes-only",visual,valenced,,valenced,Emotional expression of the suppressed face (fearful vs neutral vs happy) × orientation (upright vs inverted) under CFS; 30% catch trials without a face,Time to break suppression (RT to first emergence of any part of the face); false-alarm rate on catch trials,report (button press at the moment the face became visible),"none named (Discussion frames the result as preferential access to awareness of negatively charged expressions and amygdala-based rapid detection; no coded theory named in Introduction, Results or Discussion)",,,,none of the coded theories,none,False,False,False,False,True,False,,False,True,valenced,none of the coded theories,full text read,25 Sep 2026 full-text reading: PARTITION CHANGE: three experiments with separate samples. Propose P26-E1 = Experiment 1 and new rows P26-E2 (4AFC localisation) and P26-E3 (eyes only).,experiment
P26,F26,P26-E2,P26-S2,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,experiment (Experiment 2: b-CFS with 4AFC quadrant localisation),,12,12 analysed of 14 recruited (2 removed for >10% localisation errors),"Breaking continuous flash suppression; fearful vs neutral vs happy faces, upright, inverted, eyes-only",visual,valenced,,valenced,"As Experiment 1 (expression × orientation under CFS), with an objective 4AFC localisation response",RT to correct quadrant localisation of the face (fearful < neutral < happy; inversion effect); error rate,report (objective 4AFC localisation button press as the awareness criterion),"none named (Discussion frames the result as preferential access to awareness of negatively charged expressions and amygdala-based rapid detection; no coded theory named in Introduction, Results or Discussion)",,,,none of the coded theories,none,False,False,False,False,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row.,experiment
P26,F26,P26-E3,P26-S3,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,"experiment (Experiment 3: eyes-only stimuli, detection)",,6,6 (t(5)),"Breaking continuous flash suppression; fearful vs neutral vs happy faces, upright, inverted, eyes-only",visual,valenced,,valenced,Expression conveyed by isolated eye regions (fearful vs neutral vs happy) under CFS; detection task as Experiment 1,Time to break suppression for eyes-only stimuli (fear 2.74 s < neutral 3.45 s < happy 4.65 s),report (button press at first visibility),"none named (Discussion frames the result as preferential access to awareness of negatively charged expressions and amygdala-based rapid detection; no coded theory named in Introduction, Results or Discussion)",,,,none of the coded theories,none,False,False,False,False,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row; small follow-up sample (n = 6).,experiment
P27,F27,P27-E1,P27-E1-S1,Sheth & Pham 2008,10.1016/j.visres.2008.07.013,2008,Rivalry dominance experiment(s) (partition not verifiable from abstract),not stated in abstract,12,12 analysed (18 recruited; data of 6 discarded because of a computer glitch),Binocular rivalry with IAPS-type natural images varied in arousal and valence,visual,valenced,,valenced,Arousal and valence of rival IAPS pictures (iso-valence pairs differing in arousal; iso-arousal pairs differing in valence; content-matched pairs differing in both); 60-s trials with picture–eye swap every 15 s,"Total and mean dominance durations, initial percept, ternary (left/right/mixed) continuous report; rivalry coherence; eye-swap transitions; low-level image statistics as covariates","report (continuous key-press report of the dominant percept, ternary including mixed)",none named (the Introduction states a hypothesis about amygdala projections to visual cortex and rivalry; Discussion §4.2 relates the results to stimulus- vs eye-rivalry views; no coded theory named),,,,none of the coded theories,none,False,False,False,False,True,False,,False,True,valenced,none of the coded theories,full text read,25 Sep 2026 full-text reading: No partition change; N supplied (18 recruited / 12 analysed).,experiment
P28,F28,P28-E1,P28-E1-S1,Gayet et al. 2016,10.1016/j.cognition.2016.01.009,2016,Conditioning + b-CFS experiment(s) (partition not verifiable from abstract),not stated in abstract,16,16 analysed of 18 recruited (2 excluded for too many no-responses); 12 in additional Eye-condition analyses,Fear conditioning of colour annuli followed by breaking CFS,visual,valenced,,valenced,Acquired threat value: colour annulus paired with electric shock (CS+) vs unpaired (CS−) in a fear-conditioning phase; then interocular suppression vs monocular control presentation in b-CFS,Response time to report grating orientation (index of suppression duration) for CS+ vs CS− in suppression vs monocular conditions; Bayes factor for the monocular null,report (speeded orientation report of the grating once visible; orthogonal response mapping),"none named (Dehaene, Kerszberg & Changeux 1998 is cited in the Introduction only for the functional property that awareness is associated with performing demanding tasks; no theory named as tested or as the framework the result bears on)",,,,none of the coded theories,none,False,False,False,False,True,False,,False,True,valenced,none of the coded theories,full text read,"25 Sep 2026 full-text reading: PARTITION CHANGE: the publication reports Experiment 1 (main), Experiment 2 (luminance-salience analogue, new sample of 18, 16 analysed) and Experiment 3 (equiluminance control, 15 of the Experiment 2",experiment
P28,F28,P28-E2,P28-S2,Gayet et al. 2016,10.1016/j.cognition.2016.01.009,2016,experiment (Experiment 2: bottom-up salience analogue — high- vs low-luminance annulus in b-CFS with monocular control),,16,16 analysed of 18 recruited (1 no responses within limit; 1 diplopia),Fear conditioning of colour annuli followed by breaking CFS,visual,neutral,,neutral-visual,Luminance contrast of the annulus (red at maximal luminance vs equiluminant blue) × suppression vs monocular presentation; no conditioning,"Response times for high- vs low-contrast annuli in suppression vs monocular conditions (Contrast × Suppression interaction, F(1,15) = 7.32)",report (speeded orientation report),"none named (Dehaene, Kerszberg & Changeux 1998 is cited in the Introduction only for the functional property that awareness is associated with performing demanding tasks; no theory named as tested or as the framework the result bears on)",,,,none of the coded theories,none,False,False,False,False,True,True,"Control/ancillary experiment testing whether a salience increase mimics the threat effect; no affective manipulation. Candidate ancillary_experiment = True (content class would be neutral-visual, not valenced)",True,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row (ancillary).,experiment
P28,F28,P28-E3,P28-S3,Gayet et al. 2016,10.1016/j.cognition.2016.01.009,2016,experiment (Experiment 3: equiluminance control for the red and blue annuli),,15,15 (subset of the 16 Experiment 2 participants),Fear conditioning of colour annuli followed by breaking CFS,visual,neutral,,neutral-visual,Perceptually equiluminant blue vs red annuli under b-CFS (no salience or threat difference expected),Suppression durations for the two colours (no a priori difference),report (speeded orientation report),"none named (Dehaene, Kerszberg & Changeux 1998 is cited in the Introduction only for the functional property that awareness is associated with performing demanding tasks; no theory named as tested or as the framework the result bears on)",,,,none of the coded theories,none,False,False,False,False,True,True,Pure control experiment on a re-used sample; ancillary_experiment = True; no access or affect manipulation of interest,True,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row (ancillary); sample overlaps Experiment 2 (same sample_id).,experiment
P29,F29,P29-E1,P29-E1-S1,Whalen et al. 1998,10.1523/jneurosci.18-01-00411.1998,1998,Single fMRI experiment,10,8,8 analysed of 10 scanned (2 excluded because debriefing indicated they had seen features of the target expressions); pulse rate in 6 of the 8,Backward-masked fearful vs happy faces; amygdala fMRI,visual,valenced,,valenced,Valence of backward-masked target expression (fearful vs happy faces masked by neutral faces at 33 ms SOA) vs fixation baseline; access held below threshold throughout (no seen/unseen contrast),BOLD signal in amygdala (masked fear > masked happy) and substantia innominata; pulse rate; post-scan debriefing,report (post hoc debriefing after all presentations: recall then recognition of seen faces; no trial-wise report),none named (framed as automaticity of amygdala response and nonconscious monitoring of emotional stimuli; no coded theory named in Introduction or Discussion),"GNWT: Dehaene & Naccache 2001, doi:10.1016/s0010-0277(00)00123-2 (reference list; presumably as subliminal-processing evidence — context not read)",REFLIST,reference list only,,none,True,False,True,False,True,True,Access held below threshold throughout by masking (no seen/unseen contrast); awareness assessed only by post hoc debriefing (I1 contested category); confirmed by the full text,False,True,valenced,none of the coded theories,full text read,25 Sep 2026 full-text reading: No partition change. participants_in_analysis = 8 (not 10); participants_total = 10 stands.,experiment
P30,F30,P30-E1,P30-E1-S1,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,Experiment 1 (high time pressure),17,13,,Masked digit comparison under time pressure; conscious vs subliminal error detection; EEG/MEG,visual,neutral,,neutral-visual,Masking SOA (seen vs unseen digit); error vs correct response,ERN amplitude and source; error-detection accuracy by visibility,report,"GNWT — Introduction: ""The Global Neuronal Workspace (GNW) model proposes that conscious access is associated with a sharp non-linear transition""; higher-order/metacognitive identification of consciousness discussed critically","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (context read: conscious error-detection model); HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: error signals modulated by uncertainty)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,"Access manipulation is over the visual digit; error detection is the outcome, so content stays neutral-visual (codebook §4.2 boundary rule ii)",experiment
P30,F30,P30-E2,P30-E2-S1,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,"Experiment 2 (reduced time pressure, replication)",16,13,,Masked digit comparison under time pressure; conscious vs subliminal error detection; EEG/MEG,visual,neutral,,neutral-visual,Masking SOA (seen vs unseen digit); error vs correct response,ERN amplitude and source; error-detection accuracy by visibility,report,GNWT — as Experiment 1,as Experiment 1,CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,"Access manipulation is over the visual digit; error detection is the outcome, so content stays neutral-visual (codebook §4.2 boundary rule ii)",experiment
P31,F31,P31-E1,P31-E1-S1,Nieuwenhuis et al. 2001,10.1111/1469-8986.3850752,2001,Single ERP experiment (single experiment confirmed from full text),not stated in abstract,15,15 analysed (3 further participants tested and replaced for <2.5% perceived or unperceived errors; i.e. 18 tested),"Antisaccade task; perceived vs unperceived saccade errors; ERP (Ne/ERN, Pe)",motor,neutral,skeletal,motor-conflict (skeletal),None over access; antisaccade task with valid/invalid precues to induce direction errors; trial-wise judgement of own performance sorts errors into perceived vs unperceived (about 50% perceived),"Ne/ERN and Pe amplitude for perceived vs unperceived vs correct trials; saccade size, SRT, correction time; post-error slowing",report (trial-wise subjective judgement of antisaccade performance at the end of each trial),"none named (framed within Ne/Pe error-monitoring accounts — Falkenstein et al.; the ""attention hypothesis"" of Deubel et al./Mokler & Fischer; no coded theory named)","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (context read: late ignition only for consciously detected errors); Dehaene & Changeux 2011 (reference list)",CONTEXT_NAMED;REFLIST,Mashour 2020 context read,,none,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,Content re-coded from legacy neutral-visual to motor-conflict under codebook §4.2 boundary rule (ii): the content whose awareness is measured is the erroneous reflexive saccade itself (competing prosaccade vs antisaccade policies); no stimulus-level access manipulation. Judgement call — flagged for second coder | 25 Sep 2026 full-text reading: No partition change. N supplied (15 analysed; 18 tested). Motor-conflict (skeletal) coding under §4.2 rule (ii) consistent with the full text: the accessed content is the erroneous reflexive saccade.,experiment
P32,F32,P32-E1,P32-E1-S1,Garfinkel et al. 2015,10.1016/j.biopsycho.2014.11.004,2015,Single normative study,80,80,80 took part in all procedures (age recorded for 76); no exclusions stated,Heartbeat tracking and detection; confidence ratings; questionnaires,interoceptive,interoceptive,,interoceptive,"None over access; individual differences: heartbeat tracking and heartbeat discrimination accuracy, trial-wise confidence, and questionnaire sensibility (BPQ, Porges)","Interoceptive accuracy, interoceptive sensibility, interoceptive awareness (confidence–accuracy correspondence, ROC area) and their dissociation; regressions across dimensions",report (trial-wise confidence ratings; questionnaire self-report; heartbeat counting/discrimination responses),"PP — named in the Discussion as the framework the data bear on ('interoceptive predictive coding' / 'interoceptive inference', citing Seth 2013 and Seth et al. 2011, which are §5 PP primary statements); 'Predictive coding' is also an author keyword","NSF: Azzalini, Rebollo & Tallon-Baudry 2019, doi:10.1016/j.tics.2019.03.007 (reference list)",REFLIST,reference list only,PP auxiliary anchor (listed as admissible anchor in codebook §5) — coder/manuscript inference,PP,True,False,True,True,True,True,"Measured, not manipulated: first-order interoceptive accuracy and a metacognitive index (confidence–accuracy correspondence); metacognitive index rather than access manipulation (I1); confirmed by the full text",False,True,interoceptive,none of the coded theories,full text read,"25 Sep 2026 full-text reading: No partition change. Attribution changes from ""none named"" to PP named by the authors (Discussion).",experiment
P33,F33,P33-E1,P33-E1-S1,Farb et al. 2013,10.1093/scan/nss066,2013,Single fMRI experiment (two groups),not stated in abstract,36,36 analysed (MT group 20 of 23 enrolled; untrained waitlist 16); respiration data complete for 27 (20 MT + 7 untrained),Interoceptive (respiratory) attention vs visual tasks; MBSR graduates vs waitlist; fMRI,interoceptive,interoceptive,,interoceptive,Attentional target (interoceptive attention to respiration vs exteroceptive attention to visual words) × group (8-week MBSR training vs waitlist); no manipulation or trial-wise measurement of awareness of the interoceptive content,Insula and DMPFC BOLD during interoceptive vs exteroceptive attention; functional connectivity; respiration frequency; practice-compliance correlations; cortical thickness,report (task compliance only — button presses to breath counts/visual targets; no awareness report),none named (interpreted with Craig’s insula model of present-moment awareness and the goals of mindfulness training; no coded theory named in Introduction or Discussion),,,,none of the coded theories,none,False,False,False,False,True,True,"The contrast is attentional focus (interoceptive vs exteroceptive) crossed with training; conscious access to the interoceptive content is neither manipulated nor measured, so I1 is not clearly met; confirmed by the full text",False,True,interoceptive,none of the coded theories,full text read,25 Sep 2026 full-text reading: No partition change. N supplied (36 analysed; 39 randomised).,experiment
P34,F34,P34-E1,P34-E1-S1;P34-E1-S2,Pinto et al. 2017,10.1093/brain/aww358,2017,Battery of tasks in two patients (partition into experiments not verifiable from abstract),2,2,2 (Patients DDV and DDC); single-case permutation statistics per patient,"Split-brain patients: cross-hemifield comparison, detection, localisation, identification with confidence ratings",visual,neutral,,neutral-visual,"Visual hemifield (LVF/RVF) × response type (verbal, left hand, right hand); stimulus present vs absent (50%)",Detection hits/false alarms and localisation error per hemifield and response type; response type × hemifield interaction (absent),report (yes/no detection and pointing/verbal localisation),"GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.",,,,IIT / GNWT (unity of consciousness bears on integration claims) per legacy — coder inference only,GNWT,False,False,True,True,True,False,,False,True,neutral-visual,GNWT/IIT,full text read,25 Sep 2026 full-text reading: PARTITION CHANGE: the Report is a battery of five numbered experiments (with lettered sub-experiments) collected over several years; only Experiment 1 includes both patients. Propose P34-E1 = Experime,experiment
P34,F34,P34-E2,P34-S2,Pinto et al. 2017,10.1093/brain/aww358,2017,"experiment (Experiment 2A–C: within- vs between-hemifield same/different comparison of orientations, shapes, pictures)",,1,1 (Patient DDC),"Split-brain patients: cross-hemifield comparison, detection, localisation, identification with confidence ratings",visual,neutral,,neutral-visual,"Stimulus pair location (both LVF, both RVF, or one in each hemifield) × response type (2A verbal only; 2B three types; 2C hands only)",Same/different accuracy within vs across hemifields (cross-hemifield comparison at chance),report (same/different judgement),"GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.",,,,IIT / GNWT (unity of consciousness bears on integration claims) per legacy — coder inference only,GNWT,False,False,True,True,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row.,experiment
P34,F34,P34-E3,P34-S3,Pinto et al. 2017,10.1093/brain/aww358,2017,experiment (Experiment 3A–B: matching a lateralised picture to a verbal label or to a picture),,1,1 (Patient DDC),"Split-brain patients: cross-hemifield comparison, detection, localisation, identification with confidence ratings",visual,neutral,,neutral-visual,Hemifield of the picture × response format (verbal label vs picture selection) × response type,Matching accuracy per hemifield (separate performance levels per hemifield for labelling/matching),report (forced-choice label/picture selection),"GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.",,,,IIT / GNWT (unity of consciousness bears on integration claims) per legacy — coder inference only,GNWT,False,False,True,True,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row.,experiment
