publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,paradigm,unit_type_coder2,n_experiments_identified,partition_note,modality,affective_status,effector_type,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,theory_attribution_later,later_attribution_evidence,contested_inclusion,contested_reason,ancillary_experiment,source_locus,adjudication_reason,evidence_status,provisional,partition_status,flag_for_adjudication
P26,P26,P26-E3,P26-E3-S1,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,Experiment 3: isolated eyes,Emotional faces under suppression,experiment,3,Separate techniques or within-sample conditions are not counted as additional experiments.,visual,valenced,,Eye-region affect,Suppression breakthrough,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 3: isolated eyes: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P27,P27,P27-E1,P27-E1-S1,Sheth & Pham 2008,10.1016/j.visres.2008.07.013,2008,Publication retained pending full methods,Emotional binocular rivalry,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,valenced,,Arousal and affective valence,Percept dominance,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P28,P28,P28-E1,P28-E1-S1,Gayet et al. 2016,10.1016/j.cognition.2016.01.009,2016,Publication retained pending full methods,Fear conditioning and suppression breakthrough,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,valenced,,Learned threat value of stimuli,Breakthrough into visual awareness,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P29,P29,P29-E1,P29-S1,Whalen et al. 1998,10.1523/jneurosci.18-01-00411.1998,1998,Masked fearful/happy faces,Masked emotional faces,experiment,1,Separate techniques or within-sample conditions are not counted as additional experiments.,visual,valenced,,Affect under brief masked presentation,Amygdala response and retrospective awareness,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,Critical masked stimuli remain below threshold for the analyzed unaware group; no planned seen/unseen content-access contrast.,False,Masked fearful/happy faces: Methods and Results; attribution separately located,,full-text,False,verified-main-text,True
P30,P30,P30-E1,P30-E1-S1,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,Single simultaneous EEG/MEG experiment,Masked numerical decisions and error awareness,experiment,1,Separate techniques or within-sample conditions are not counted as additional experiments.,motor,neutral,skeletal,Visibility and response correctness,Awareness of own errors and neural responses,report,GNWT,Discussion: global neuronal workspace and access to one’s errors,GNWT;HOSS,"CONTEXT_UNNAMED | GNWT:10.1016/j.neuron.2020.01.026, error awareness and global top-down signals; HOSS:10.1037/rev0000045, error detection and self-evaluation",False,,False,Single simultaneous EEG/MEG experiment: Methods and Results; attribution separately located,Classified by accessed response error; the displayed digits are not the coding target.,full-text,False,verified-main-text,True
P31,P31,P31-E1,P31-E1-S1,Nieuwenhuis et al. 2001,10.1111/1469-8986.3850752,2001,Publication retained pending full methods,Antisaccade error awareness,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",motor,neutral,skeletal,Correct versus aware/unaware response errors,Error awareness and ERP,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,GNWT,"CONTEXT_UNNAMED | GNWT:10.1016/j.neuron.2020.01.026, error awareness, local para.127; reference Nieuwenhuis et al.2001 title verified",False,,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P32,P32,P32-E1,P32-S1,Garfinkel et al. 2015,10.1016/j.biopsycho.2014.11.004,2015,Publication retained pending full methods,Heartbeat tasks and metacognition,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",interoceptive,interoceptive,,Heartbeat discrimination/counting and confidence,"Interoceptive accuracy, sensibility and awareness",report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,"Interoceptive awareness is operationalized partly as metacognitive correspondence, not solely access.",False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P33,P33,P33-E1,P33-MAIN,Farb et al. 2013,10.1093/scan/nss066,2013,Main fMRI training/control study,Respiratory interoceptive attention and mindfulness,experiment,2,Separate pilot sample is included. Main-task visual response demands do not constitute a report about the accessed respiratory content.,interoceptive,interoceptive,,Training group and attention to breath versus external task,Respiratory attention-related activity,no-report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,Attention/training contrast does not directly measure seen/unseen access to breath.,False,Main fMRI training/control study: Methods and Results; attribution separately located,,full-text,False,verified-main-text,True
P33,P33,P33-E2,P33-PILOT,Farb et al. 2013,10.1093/scan/nss066,2013,Ancillary behavioral pilot,Respiratory interoceptive attention and mindfulness,experiment,2,Separate pilot sample is included. Main-task visual response demands do not constitute a report about the accessed respiratory content.,interoceptive,interoceptive,,Attention to respiration and counted breaths,Count accuracy checked against respiration,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,Pilot validates attention/count performance rather than a content-access contrast.,True,"Methods, behavioral pilot for interoceptive attention",,full-text,False,verified-main-text,True
P34,P34,P34-E1,P34-PATIENTS,Pinto et al. 2017,10.1093/brain/aww358,2017,Publication retained pending full methods,Split-brain perceptual tasks,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,neutral,,Visual-field presentation and response arrangements,"Detection, localization, identification and confidence",report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Abstract,Two patients and several tasks are mentioned; they do not establish a verified experiment partition.,abstract-only,True,unverified-publication-as-one,True
P36,P36,P36-E1,P36-E1-S1,Kawagoe et al. 2019,10.1002/hbm.24748,2019,Instructed-state fMRI experiment,Instructed mind blanking versus mind wandering,experiment,1,The study reports a new sample while describing a previous behavioral finding; it is not excluded as a reanalysis.,not applicable,neutral,,Mind blanking versus mind wandering,State reports and fMRI,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,"State-level absence of content, outside content denominators.",False,Methods and Results: instructed MB/MW task,,full-text,False,verified-main-text,True
